date,Microsoft stock
2026-01-18,29
2026-01-19,27
2026-01-20,36
2026-01-21,50
2026-01-22,55
2026-01-23,56
2026-01-24,48
2026-01-25,48
2026-01-26,53
2026-01-27,53
2026-01-28,60
2026-01-29,100
2026-01-30,70
2026-01-31,32
2026-02-01,26
2026-02-02,39
2026-02-03,52
2026-02-04,53
2026-02-05,58
2026-02-06,56
2026-02-07,25
2026-02-08,45
2026-02-09,54
2026-02-10,35
2026-02-11,38
2026-02-12,39
2026-02-13,33
2026-02-14,27
2026-02-15,25
2026-02-16,27
2026-02-17,32
2026-02-18,32
2026-02-19,30
2026-02-20,31
2026-02-21,29
2026-02-22,25
2026-02-23,37
2026-02-24,38
2026-02-25,36
2026-02-26,38
2026-02-27,35
2026-02-28,28
2026-03-01,26
2026-03-02,36
2026-03-03,36
2026-03-04,27
2026-03-05,41
2026-03-06,62
2026-03-07,55
2026-03-08,55
2026-03-09,59
2026-03-10,61
2026-03-11,61
2026-03-12,63
2026-03-13,60
2026-03-14,23
2026-03-15,27
2026-03-16,34
2026-03-17,32
2026-03-18,31
2026-03-19,38
2026-03-20,33
2026-03-21,25
2026-03-22,22
2026-03-23,31
2026-03-24,33
2026-03-25,35
2026-03-26,34
2026-03-27,37
2026-03-28,28
2026-03-29,29
2026-03-30,36
2026-03-31,36
2026-04-01,37
2026-04-02,34
2026-04-03,28
2026-04-04,9
2026-04-05,8
2026-04-06,14
2026-04-07,14
2026-04-08,18
2026-04-09,18
2026-04-10,18
2026-04-11,9
2026-04-12,8
2026-04-13,17
2026-04-14,19
2026-04-15,18
2026-04-16,21
2026-04-17,22
2026-04-18,11
