date,S&P 500
2026-01-18,32
2026-01-19,48
2026-01-20,75
2026-01-21,81
2026-01-22,67
2026-01-23,60
2026-01-24,33
2026-01-25,37
2026-01-26,61
2026-01-27,68
2026-01-28,68
2026-01-29,76
2026-01-30,72
2026-01-31,42
2026-02-01,42
2026-02-02,69
2026-02-03,71
2026-02-04,70
2026-02-05,77
2026-02-06,77
2026-02-07,40
2026-02-08,37
2026-02-09,65
2026-02-10,63
2026-02-11,62
2026-02-12,62
2026-02-13,66
2026-02-14,35
2026-02-15,35
2026-02-16,50
2026-02-17,57
2026-02-18,54
2026-02-19,54
2026-02-20,61
2026-02-21,35
2026-02-22,37
2026-02-23,67
2026-02-24,70
2026-02-25,63
2026-02-26,64
2026-02-27,63
2026-02-28,41
2026-03-01,38
2026-03-02,93
2026-03-03,93
2026-03-04,80
2026-03-05,77
2026-03-06,84
2026-03-07,47
2026-03-08,46
2026-03-09,94
2026-03-10,76
2026-03-11,72
2026-03-12,75
2026-03-13,75
2026-03-14,49
2026-03-15,42
2026-03-16,79
2026-03-17,66
2026-03-18,70
2026-03-19,83
2026-03-20,85
2026-03-21,53
2026-03-22,48
2026-03-23,94
2026-03-24,77
2026-03-25,73
2026-03-26,77
2026-03-27,100
2026-03-28,66
2026-03-29,59
2026-03-30,98
2026-03-31,98
2026-04-01,93
2026-04-02,90
2026-04-03,60
2026-04-04,25
2026-04-05,20
2026-04-06,52
2026-04-07,57
2026-04-08,71
2026-04-09,58
2026-04-10,53
2026-04-11,21
2026-04-12,22
2026-04-13,58
2026-04-14,62
2026-04-15,65
2026-04-16,65
2026-04-17,75
2026-04-18,33
